lotNumber,x,y
1697,386,183
1698,380,202
1699,382,224
1700,382,244
1701,379,269
1702,375,285
1703,371,306
1704,367,329
1705,362,347
1706,365,388
1707,337,387
1708,313,392
1709,291,399
1710,269,410
1711,250,423
1712,233,443
1713,219,460
1714,207,485
1715,198,504
1716,192,529
1717,189,553
1718,189,575
1719,192,600
1720,199,622
1721,211,643
1722,215,662
1723,224,682
1724,231,707
1725,240,723
1726,247,744
1727,257,763
1728,264,781
1729,275,802
1730,275,829
1731,283,859
1732,311,876
1733,341,875
1734,369,858
1735,393,842
1736,413,833
1737,432,829
1738,453,828
1739,475,822
1740,495,818
1741,516,815
1742,536,811
1743,558,809
1744,526,744
1745,521,720
1746,514,694
1747,508,676
1748,499,644
1749,494,618
1750,477,559
1751,473,544
1752,466,512
1753,460,494
1754,454,473
1755,447,452
1756,430,424
1757,432,402
1758,434,378
1759,438,359
1760,443,334
1761,445,315
1762,462,747
1763,437,749
1764,418,752
1765,391,758
1766,367,762
1767,335,750
1768,320,722
1769,314,703
1770,304,686
1771,297,662
1772,288,644
1773,283,627
1774,274,606
1775,265,581
1776,265,546
1777,274,519
1778,286,497
1779,308,474
1780,347,464
1781,377,487
1782,387,511
1783,391,533
1784,401,558
1785,404,579
1786,409,598
1787,414,618
1788,420,639
1789,425,658
1790,431,678
1791,436,701
1792,639,545
1793,664,517
1794,674,486
1795,696,463
1796,728,486
1797,753,465
1798,779,474
1799,804,453
1800,822,470
1801,842,470
1802,863,465
1803,881,469
1804,951,467
1805,976,471
1806,997,470
1807,1019,472
1808,1037,480
1809,1063,488
1810,1080,497
1811,1101,508
1812,1129,515
1813,648,646
1814,1159,542
1815,1178,560
1816,1189,575
1817,1207,589
1818,1220,605
1819,1234,625
1820,1249,638
1821,1260,652
1822,1278,670
1823,1294,688
1824,1302,716
1825,1303,738
1826,1303,765
1827,1297,791
1828,1289,809
1829,1278,827
1830,1270,850
1831,1261,866
1832,1251,885
1833,1244,903
1834,1234,923
1835,1223,950
1836,1219,977
1837,1221,999
1838,1225,1022
1839,1230,1041
1840,1233,1063
1841,1235,1083
1842,1241,1103
1843,1246,1128
1844,1252,1148
1845,1254,1170
1846,1257,1190
1847,1197,1186
1848,1178,1189
1849,1163,1192
1850,1150,1194
1851,1135,1196
1852,1116,1201
1853,1103,1202
1854,1087,1206
1855,1071,1209
1856,1057,1211
1857,1038,1215
1858,1026,1217
1859,1008,1218
1860,993,1223
1861,977,1226
1862,963,1230
1863,946,1233
1864,929,1235
1865,915,1238
1866,869,1247
1867,884,1245
1868,898,1244
1869,853,1250
1870,836,1252
1871,820,1255
1872,808,1258
1873,789,1261
1874,768,1267
1875,709,1289
1876,711,1272
1877,709,1256
1878,710,1238
1879,709,1226
1880,709,1209
1881,710,1190
1882,708,1171
1883,711,1158
1884,709,1140
1885,709,1123
1886,708,1112
1887,706,1092
1888,709,1078
1889,707,1061
1890,709,1045
1891,706,1029
1892,707,1016
1893,706,992
1894,703,978
1895,705,962
1896,702,945
1897,703,930
1898,702,913
1899,699,899
1900,697,881
1901,694,866
1902,693,851
1903,694,837
1904,687,815
1905,685,803
1906,681,786
1907,680,769
1908,675,749
1909,670,729
1910,665,705
1911,661,686
1912,653,664
1913,646,646
1914,644,625
1915,637,597
1916,734,666
1917,726,637
1918,721,614
1919,713,587
1920,735,550
1921,774,545
1922,795,545
1923,819,542
1924,839,546
1925,860,542
1926,885,546
1927,904,544
1928,923,544
1929,946,544
1930,966,546
1931,992,546
1932,1015,554
1933,1037,559
1934,1087,572
1935,1073,585
1936,1063,599
1937,1054,611
1938,1043,625
1939,1036,633
1940,1016,654
1941,995,663
1942,977,669
1943,958,672
1944,944,675
1945,925,676
1946,913,680
1947,894,683
1948,881,687
1949,862,688
1950,844,693
1951,830,695
1952,814,696
1953,797,703
1954,781,705
1955,766,707
1956,750,711
1957,728,713
1958,751,772
1959,753,788
1960,756,802
1961,759,816
1962,762,843
1963,766,858
1964,770,874
1965,770,890
1966,781,928
1967,784,949
1968,787,961
1969,790,977
1970,794,996
1971,797,1012
1972,798,1026
1973,800,1044
1974,808,1082
1975,812,1098
1976,815,1115
1977,815,1128
1978,822,1148
1979,823,1164
1980,825,1179
1981,829,1193
1982,876,1184
1983,875,1170
1984,871,1155
1985,867,1140
1986,864,1119
1987,861,1102
1988,859,1090
1989,858,1075
1990,847,1033
1991,845,1018
1992,841,1001
1993,840,986
1994,838,968
1995,832,953
1996,834,937
1997,828,921
1998,819,882
1999,816,866
2000,815,852
2001,811,835
2002,805,806
2003,802,792
2004,802,776
2005,798,763
2006,832,755
2007,836,773
2008,836,786
2009,840,799
2010,846,826
2011,849,843
2012,850,860
2013,853,876
2014,864,911
2015,863,929
2016,867,945
2018,875,975
2019,877,998
2020,881,1011
2021,883,1025
2022,891,1066
2023,894,1081
2024,895,1096
2025,897,1111
2026,904,1134
2027,906,1146
2028,910,1162
2029,911,1178
2030,959,1167
2031,956,1155
2032,953,1141
2033,951,1124
2034,946,1106
2035,943,1090
2036,942,1075
2037,940,1056
2038,930,1016
2039,928,1003
2040,925,988
2041,921,971
2042,918,951
2043,916,935
2044,912,922
2045,911,903
2046,902,864
2047,898,850
2048,897,835
2049,892,816
2050,888,793
2051,885,776
2052,883,759
2053,879,746
2054,915,741
2055,917,754
2056,920,769
2057,921,784
2058,927,813
2059,929,826
2060,932,843
2061,934,858
2062,945,896
2063,946,914
2064,946,930
2065,958,943
2066,953,962
2067,957,981
2068,962,997
2069,962,1011
2070,974,1051
2071,976,1069
2072,978,1082
2073,939,1057
2074,985,1116
2075,990,1135
2076,990,1146
2077,993,1163
2078,1038,1154
2079,1037,1137
2080,1034,1122
2081,1033,1107
2082,1027,1089
2083,1027,1073
2084,1024,1057
2085,1021,1043
2086,1012,1002
2087,1008,985
2088,1006,971
2089,1004,958
2090,1000,937
2091,996,919
2092,994,907
2093,993,889
2094,983,850
2095,980,835
2096,978,818
2097,975,801
2098,968,776
2099,968,763
2100,965,746
2101,961,732
2102,1074,712
2103,1091,690
2104,1107,675
2105,1120,659
2106,1133,641
2107,1147,625
2108,1178,673
2109,1191,687
2110,1205,703
2111,1220,723
2112,1226,759
2113,1215,783
2114,1204,807
2115,1196,827
2116,1187,843
2117,1178,861
2118,1171,881
2119,1159,901
2120,1153,922
2121,1143,952
2122,1139,978
2123,1143,999
2124,1147,1021
2125,1150,1041
2126,1156,1061
2127,1158,1081
2128,1164,1103
2129,1168,1124
2130,1112,1138
2131,1106,1113
2132,1101,1092
2133,1097,1071
2134,1095,1051
2135,1089,1030
2136,1085,1010
2137,1083,990
2138,1076,967
2139,1074,950
2140,1068,920
2141,1065,901
2142,1060,878
2143,1057,857
2144,1053,836
2145,1049,813
2146,1045,794
2147,1040,764
2148,1042,746
2149,1031,721
2017,869,959
